'瑞', 301)
'蟠', 301)
'合', 300)
'旧', 300)
'尚', 297)
'昨', 296)
'迎', 295)
'药', 295)
'替', 294)
'孝', 293)
'惜', 293)
'轻', 291)
'况', 288)
'满', 288)
'位', 288)
'肯', 287)
'皆', 286)
'物', 285)
'侍', 284)
'尽', 284)
'每', 282)
'欢', 280)
'毕', 278)
'闲', 278)
'近', 277)
'乱', 277)
'雪', 277)
'受', 277)
'随', 277)
'让', 277)
'反', 276)
'雨', 275)
'岂', 274)
'爱', 272)
'公', 272)
'嬷', 272)
'穿', 271)
'办', 271)
'传', 270)
'领', 269)
'苦', 268)
'很', 266)
'则', 264)
'般', 264)
'光', 264)
'高', 263)
'八', 262)
'怪', 261)
'咐', 261)
'待', 260)
'记', 258)
'被', 258)
'现', 257)
' ', 256)
'文', 255)
'认', 254)
'荣', 253)
'落', 252)
'仍', 251)
'陪', 250)
'恐', 250)
'服', 249)
'重', 249)
'曾', 248)
'备', 248)
'伤', 248)
'骂', 247)
'山', 245)
'叔', 245)
'妙', 244)
'令', 244)
'芳', 244)
'疼', 243)
'齐', 242)
'静', 242)
'跑', 242)
'包', 241)
'混', 240)
'麝', 240)
'环', 239)
'远', 238)
'空', 236)
'戏', 233)
'赏', 233)
'芸', 233)
'祖', 232)
'厮', 231)
'交', 228)
'村', 226)
'遂', 226)
'叹', 225)
'亦', 222)
'千', 222)
'舅', 222)
'即', 221)
'养', 221)
'热', 220)
'彩', 220)
'忘', 219)
'景', 219)
'略', 218)
'容', 218)
'路', 218)
'闻', 217)
'古', 217)
'直', 217)
'杯', 216)
'活', 216)
'总', 214)
'寻', 214)
'料', 214)
'马', 214)
'石', 213)
'桂', 213)
'秦', 212)
'赦', 211)
'嫂', 211)
'赖', 210)
'流', 210)
'灯', 209)
'闷', 208)
'愿', 207)
'转', 207)
'指', 205)
'烟', 205)
'刻', 205)
'立', 205)
'怨', 204)
'首', 204)
'紧', 204)
'画', 204)
'非', 203)
'钟', 203)
'乐', 201)
'呆', 201)
'欲', 200)
'强', 200)
'省', 200)
'贵', 199)
'全', 199)
'论', 199)
'鬟', 198)
'甚', 196)
'赵', 196)
'伏', 194)
'量', 194)
'琴', 194)
'体', 193)
'车', 193)
'谢', 192)
'买', 192)
'仙', 191)
'柳', 190)
'恩', 189)
'万', 189)
'派', 189)
'免', 188)
'胡', 188)
'失', 187)
'糊', 187)
'孙', 186)
'吩', 186)
'罪', 185)
'洗', 185)
'席', 184)
'鬼', 183)
'慢', 182)
'商', 182)
'灵', 181)
'抱', 181)
'宗', 180)
'错', 179)
'脚', 179)
'士', 178)
'旁', 178)
'窗', 178)
'渐', 178)
'极', 178)
'宁', 178)
'悲', 177)
'奇', 176)
'惊', 176)
'种', 174)
'场', 174)
'块', 173)
'息', 173)
'教', 172)
'独', 172)
'端', 172)
'最', 171)
'司', 171)
'亏', 171)
'妃', 171)
'目', 170)
'单', 170)
'裳', 170)
'议', 169)
'背', 168)
'添', 168)
'珠', 168)
'醒', 167)
'青', 167)
'火', 167)
'顾', 167)
'断', 167)
'奴', 167)
'趣', 166)
'净', 166)
'复', 165)
'步', 165)
'海', 165)
'男', 164)
'遇', 164)
'雁', 164)
'婶', 164)
'系', 163)
'唤', 163)
'摆', 163)
'报', 162)
'唬', 162)
'疑', 162)
'拾', 162)
'望', 161)
'递', 161)
'换', 161)
'梦', 160)
'床', 159)
'凡', 159)
'岁', 159)
'炕', 159)
'吗', 159)
'微', 158)
'终', 158)
'南', 158)
'保', 158)
'查', 158)
'涂', 158)
'茗', 158)
'通', 157)
'俱', 157)
'兰', 157)
'碗', 157)
'调', 157)
'俗', 156)
'题', 156)
'感', 156)
'工', 156)
'倘', 156)
'由', 153)
'数', 152)
'恨', 152)
'恼', 152)
'关', 152)
'离', 150)
'烦', 150)
'禁', 149)
'引', 148)
'京', 147)
'配', 147)
'六', 146)
'丢', 146)
'娶', 146)
'偷', 146)
'够', 146)
'堂', 145)
'预', 145)
'七', 145)
'佛', 145)
'治', 144)
'扶', 144)
'止', 143)
'假', 143)
'盘', 143)
'任', 143)
'国', 143)
'托', 142)
'莺', 142)
'翠', 142)
'桌', 142)
'推', 141)
'侄', 141)
'宫', 140)
'飞', 140)
'顺', 140)
'辞', 139)
'九', 139)
'幸', 139)
'嚷', 139)
'纹', 139)
'按', 138)
'加', 138)
'纸', 138)
'计', 137)
'致', 136)
'趁', 136)
'吓', 136)
'逛', 136)
'馀', 135)
'设', 135)
'敬', 135)
'害', 135)
'纪', 134)
'姊', 134)
'暗', 134)
'跪', 134)
'莲', 133)
'抬', 133)
'怜', 133)
'退', 133)
'遍', 132)
'化', 132)
'客', 132)
'造', 131)
'精', 131)
'须', 130)
'易', 130)
'差', 130)
'乃', 129)
'力', 129)
'改', 129)
'深', 129)
'归', 129)
'利', 129)
'讲', 129)
'草', 128)
'拜', 128)
'另', 128)
'帘', 128)
'初', 127)
'守', 127)
'诸', 127)
'破', 126)
'城', 126)
'黄', 126)
'戚', 126)
'翻', 125)
'烧', 125)
'妥', 125)
'横', 125)
'监', 125)
'代', 124)
'根', 124)
'遭', 123)
'北', 123)
'甄', 122)
'虚', 122)
'跳', 122)
'角', 122)
'铺', 122)
'露', 121)
'哄', 121)
'捧', 120)
'顿', 120)
'结', 119)
'蟾', 119)
'低', 119)
'笔', 118)
'元', 118)
'辈', 118)
'异', 117)
'朝', 117)
'史', 117)
'忍', 117)
'棋', 117)
'隐', 116)
'条', 116)
'友', 115)
'装', 115)
'索', 115)
'枝', 115)
'足', 114)
'剩', 114)
'绝', 114)
'费', 114)
'舍', 114)
'委', 113)
'阴', 113)
'除', 112)
'共', 112)
'赌', 112)
'供', 111)
'饮', 111)
'支', 111)
'寒', 111)
'汤', 111)
'磕', 111)
'番', 110)
'贼', 110)
'巴', 110)
'称', 110)
'账', 110)
'美', 109)
'医', 109)
'嫌', 109)
'摇', 109)
'福', 109)
'木', 108)
'承', 108)
'迟', 108)
'钏', 108)
'怀', 107)
'观', 107)
'度', 107)
'犹', 107)
'节', 107)
'变', 107)
'痛', 107)
'奈', 107)
'伺', 107)
'短', 106)
'势', 106)
'讨', 106)
'魂', 106)
'斗', 105)
'慌', 105)
'焙', 105)
'牌', 104)
'值', 104)
'惟', 104)
'唱', 104)
'轿', 104)
'撒', 104)
'含', 104)
'私', 104)
'蔷', 104)
'痴', 103)
'联', 103)
'竖', 103)
'借', 102)
'妻', 102)
'久', 102)
'猜', 102)
'歹', 102)
'招', 102)
'凭', 102)
'蝌', 102)
'卖', 101)
'奉', 101)
'嘻', 101)
'屈', 101)
'犯', 101)
'搁', 101)
'旺', 101)
'怡', 101)
'锦', 100)
'师', 100)
'缘', 100)
'挂', 100)
'耳', 100)
